ensemble_name,measure_name,mean_acc,Context 1,Context 2,Context 3,Context 4,Context 5
StudentExpert-num_gurus_train-4-num_gurus_test-1,experience_train_acc-mean,0.8849 (0.0172),0.9943 (0.0023),0.8366 (0.0235),0.8554 (0.0147),0.8927 (0.0167),0.8457 (0.029)
StudentExpert-num_gurus_train-4-num_gurus_test-3,experience_train_acc-mean,0.8842 (0.0184),0.9956 (0.0015),0.8495 (0.0156),0.8547 (0.0162),0.8929 (0.022),0.8282 (0.0368)
StudentExpert-num_gurus_train-4-num_gurus_test-2,experience_train_acc-mean,0.8806 (0.0154),0.9951 (0.0015),0.8458 (0.015),0.8497 (0.0125),0.8986 (0.018),0.8139 (0.0302)
probabilistic_better-f1_score-num_gurus-4,experience_train_acc-mean,0.8795 (0.0142),0.9968 (0.0003),0.8399 (0.0171),0.8433 (0.0164),0.8985 (0.0129),0.8188 (0.0245)
StudentExpert-num_gurus_train-3-num_gurus_test-2,experience_train_acc-mean,0.8768 (0.0186),0.9949 (0.0029),0.8457 (0.0135),0.8498 (0.0123),0.8909 (0.0165),0.8027 (0.0476)
StudentExpert-num_gurus_train-4-num_gurus_test-4,experience_train_acc-mean,0.8757 (0.0199),0.9959 (0.0015),0.8377 (0.0218),0.8408 (0.0187),0.8941 (0.0181),0.81 (0.0394)
probabilistic_weighted-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8754 (0.0234),0.9968 (0.0002),0.8201 (0.0362),0.8472 (0.0132),0.8899 (0.0193),0.823 (0.0479)
probabilistic_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8754 (0.0145),0.9967 (0.0003),0.8295 (0.0173),0.8531 (0.0132),0.8902 (0.0167),0.8074 (0.0251)
StudentExpert-num_gurus_train-3-num_gurus_test-3,experience_train_acc-mean,0.8748 (0.0166),0.9947 (0.0017),0.8265 (0.0204),0.8394 (0.0177),0.8939 (0.0179),0.8195 (0.0254)
StudentExpert-num_gurus_train-3-num_gurus_test-4,experience_train_acc-mean,0.8746 (0.0195),0.9956 (0.0017),0.8342 (0.0125),0.8511 (0.0141),0.8814 (0.0262),0.8108 (0.0429)
probabilistic_weighted-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8742 (0.0192),0.9968 (0.0002),0.8311 (0.0149),0.8474 (0.0171),0.888 (0.0275),0.8075 (0.0363)
probabilistic_better-accuracy_score-num_gurus-4,experience_train_acc-mean,0.8733 (0.0156),0.9968 (0.0002),0.8431 (0.0146),0.8482 (0.0154),0.8876 (0.0108),0.7906 (0.0371)
StudentExpert-num_gurus_train-3-num_gurus_test-1,experience_train_acc-mean,0.8731 (0.0171),0.9951 (0.0016),0.828 (0.0296),0.8501 (0.0103),0.8879 (0.0108),0.8044 (0.0331)
probabilistic_weighted-f1_score-num_gurus-4,experience_train_acc-mean,0.8728 (0.0162),0.9967 (0.0002),0.8332 (0.0207),0.8441 (0.0156),0.8795 (0.0235),0.8105 (0.0209)
probabilistic_better-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8725 (0.0225),0.9968 (0.0002),0.8244 (0.0288),0.8545 (0.0061),0.878 (0.0281),0.8089 (0.0495)
probabilistic_weighted-balanced_accuracy_score-num_gurus-3,experience_train_acc-mean,0.8701 (0.0196),0.9968 (0.0002),0.8199 (0.0231),0.8505 (0.0101),0.8807 (0.0226),0.8024 (0.0422)
probabilistic_weighted-f1_score-num_gurus-3,experience_train_acc-mean,0.8689 (0.0238),0.9967 (0.0002),0.815 (0.033),0.8471 (0.0198),0.8958 (0.0162),0.7897 (0.0496)
probabilistic_better-f1_score-num_gurus-3,experience_train_acc-mean,0.8676 (0.0261),0.9968 (0.0003),0.829 (0.0363),0.8527 (0.0112),0.8838 (0.0274),0.7758 (0.0555)
probabilistic_weighted-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8675 (0.0186),0.9967 (0.0003),0.8159 (0.0235),0.8388 (0.0156),0.8867 (0.0225),0.7992 (0.031)
probabilistic_better-accuracy_score-num_gurus-3,experience_train_acc-mean,0.8656 (0.0221),0.9968 (0.0002),0.819 (0.0254),0.8519 (0.0217),0.8558 (0.029),0.8043 (0.0342)
StudentExpert-num_gurus_train-2-num_gurus_test-4,experience_train_acc-mean,0.8651 (0.0242),0.9956 (0.0016),0.8119 (0.0213),0.8358 (0.0182),0.8755 (0.0213),0.8069 (0.0585)
random_better-balanced_accuracy_score-num_gurus-4,experience_train_acc-mean,0.8648 (0.0182),0.9968 (0.0002),0.7904 (0.0229),0.8479 (0.0111),0.8771 (0.0216),0.812 (0.0351)
StudentExpert-num_gurus_train-2-num_gurus_test-1,experience_train_acc-mean,0.8646 (0.0277),0.9949 (0.0018),0.8116 (0.0281),0.8416 (0.0139),0.8943 (0.0196),0.7805 (0.0749)
probabilistic_better-balanced_accuracy_score-num_gurus-2,experience_train_acc-mean,0.8642 (0.0254),0.9968 (0.0003),0.8279 (0.0234),0.8448 (0.0209),0.8565 (0.0354),0.795 (0.0469)
StudentExpert-num_gurus_train-2-num_gurus_test-3,experience_train_acc-mean,0.8632 (0.0273),0.9959 (0.0009),0.8042 (0.0428),0.8392 (0.0186),0.8782 (0.0342),0.7985 (0.0399)
StudentExpert-num_gurus_train-2-num_gurus_test-2,experience_train_acc-mean,0.8626 (0.0273),0.9941 (0.002),0.8134 (0.0427),0.8362 (0.0122),0.8644 (0.037),0.8047 (0.0427)
